data/k,data/distancia,data/algoritmo,data/tempo,data/precisao_maior,data/precisao_menor,data/precisao_media,data/precisao_desvio_padrao,data/precisao_p25,data/precisao_p50,data/precisao_p75
1,minkowski,uniform,0.3269972801208496,0.9473684210526315,0.8596491228070176,0.9,0.027516468669049325,0.881578947368421,0.8991228070175439,0.9188596491228069
1,minkowski,uniform,0.19700098037719727,0.9736842105263158,0.9473684210526315,0.9570175438596491,0.0072865121604544746,0.956140350877193,0.956140350877193,0.956140350877193
1,minkowski,distance,0.2290022373199463,0.9649122807017544,0.8859649122807017,0.9245614035087721,0.025483928151463074,0.8991228070175439,0.9298245614035088,0.9385964912280702
1,minkowski,distance,0.22799968719482422,0.9649122807017544,0.8947368421052632,0.9464912280701755,0.01899684897167343,0.9473684210526315,0.9473684210526315,0.956140350877193
1,cityblock,uniform,0.175004243850708,0.9473684210526315,0.9035087719298246,0.9236842105263159,0.014704433872140517,0.9078947368421053,0.9298245614035088,0.9298245614035088
1,cityblock,uniform,0.18399810791015625,0.9912280701754386,0.9298245614035088,0.9535087719298245,0.01842105263157895,0.9407894736842105,0.9473684210526315,0.9671052631578947
1,cityblock,distance,0.22499775886535645,0.9736842105263158,0.8859649122807017,0.9307017543859649,0.02555930225321661,0.9144736842105263,0.9385964912280702,0.9473684210526315
1,cityblock,distance,0.23299956321716309,0.9736842105263158,0.9385964912280702,0.9587719298245615,0.012436356911191077,0.9495614035087718,0.9649122807017544,0.9649122807017544
2,minkowski,uniform,0.19500088691711426,0.9298245614035088,0.868421052631579,0.9078947368421053,0.01808379660358622,0.8969298245614035,0.9078947368421053,0.9210526315789473
2,minkowski,uniform,0.1920006275177002,0.9649122807017544,0.9122807017543859,0.936842105263158,0.016550844091327382,0.9232456140350878,0.9342105263157895,0.9517543859649122
2,minkowski,distance,0.22497105598449707,0.9385964912280702,0.8859649122807017,0.9184210526315789,0.018834132064547277,0.9035087719298246,0.9254385964912281,0.9364035087719298
2,minkowski,distance,0.2350006103515625,0.9736842105263158,0.9298245614035088,0.9482456140350877,0.013274338553001367,0.9407894736842105,0.9473684210526315,0.9539473684210527
2,cityblock,uniform,0.1699986457824707,0.956140350877193,0.8596491228070176,0.9140350877192983,0.028234170069177344,0.8991228070175439,0.9166666666666666,0.9364035087719298
2,cityblock,uniform,0.18000125885009766,0.9912280701754386,0.9298245614035088,0.9675438596491228,0.01666666666666666,0.9583333333333333,0.9692982456140351,0.9802631578947368
2,cityblock,distance,0.22996735572814941,0.956140350877193,0.8859649122807017,0.9228070175438596,0.021052631578947364,0.9122807017543859,0.9166666666666666,0.9429824561403508
2,cityblock,distance,0.23200178146362305,0.956140350877193,0.9298245614035088,0.9482456140350879,0.009158163604307483,0.9407894736842105,0.9517543859649122,0.956140350877193
3,minkowski,uniform,0.21699881553649902,0.9473684210526315,0.8947368421052632,0.919298245614035,0.015091798714109868,0.9122807017543859,0.9166666666666666,0.9276315789473684
3,minkowski,uniform,0.21500110626220703,1,0.9298245614035088,0.9631578947368421,0.017891296538922064,0.9517543859649122,0.9649122807017544,0.9714912280701755
3,minkowski,distance,0.22499656677246094,0.956140350877193,0.8596491228070176,0.9175438596491228,0.02940886774428106,0.8991228070175439,0.9166666666666666,0.9451754385964912
3,minkowski,distance,0.23600172996520996,1,0.9385964912280702,0.9684210526315791,0.0171894017037416,0.956140350877193,0.9692982456140351,0.9736842105263158
3,cityblock,uniform,0.17499876022338867,0.9649122807017544,0.8859649122807017,0.9210526315789475,0.024810764252159563,0.8969298245614035,0.9210526315789473,0.9385964912280702
3,cityblock,uniform,0.1830301284790039,0.9912280701754386,0.956140350877193,0.9754385964912279,0.00944765755637631,0.9736842105263158,0.9736842105263158,0.9824561403508771
3,cityblock,distance,0.22997140884399414,0.9649122807017544,0.8771929824561403,0.9298245614035088,0.025423467975770962,0.9122807017543859,0.9342105263157895,0.9517543859649122
3,cityblock,distance,0.22900056838989258,1,0.9473684210526315,0.9754385964912281,0.016079212964757335,0.9649122807017544,0.9780701754385965,0.9890350877192982
4,minkowski,uniform,0.2299964427947998,0.9473684210526315,0.9122807017543859,0.9342105263157896,0.011267747876022053,0.9254385964912281,0.9385964912280702,0.9385964912280702
4,minkowski,uniform,0.24500203132629395,0.9736842105263158,0.9122807017543859,0.9543859649122808,0.01789129653892207,0.9473684210526315,0.9605263157894737,0.9649122807017544
4,minkowski,distance,0.22899866104125977,0.956140350877193,0.8947368421052632,0.9201754385964913,0.020175438596491218,0.9057017543859649,0.9166666666666666,0.9342105263157895
4,minkowski,distance,0.2349989414215088,0.9912280701754386,0.956140350877193,0.9736842105263157,0.010379087338771251,0.9736842105263158,0.9736842105263158,0.9802631578947368
4,cityblock,uniform,0.18000245094299316,0.956140350877193,0.8859649122807017,0.9350877192982455,0.020079865161858935,0.9298245614035088,0.9385964912280702,0.9473684210526315
4,cityblock,uniform,0.16999578475952148,0.9912280701754386,0.9210526315789473,0.9666666666666666,0.018731716231633878,0.9583333333333333,0.9692982456140351,0.9802631578947368
4,cityblock,distance,0.2290029525756836,0.9473684210526315,0.9035087719298246,0.9245614035087717,0.014252698955501695,0.9122807017543859,0.9210526315789473,0.9385964912280702
4,cityblock,distance,0.24000048637390137,0.9912280701754386,0.9210526315789473,0.9640350877192982,0.020553288620806985,0.9517543859649122,0.9736842105263158,0.9736842105263158
5,minkowski,uniform,0.18700003623962402,0.956140350877193,0.8947368421052632,0.9254385964912281,0.018915665484954214,0.9144736842105263,0.9210526315789473,0.9429824561403508
5,minkowski,uniform,0.2020266056060791,0.9912280701754386,0.9385964912280702,0.9719298245614034,0.016550844091327364,0.9671052631578947,0.9736842105263158,0.9824561403508771
5,minkowski,distance,0.22597551345825195,0.956140350877193,0.8947368421052632,0.9254385964912281,0.019318171531180022,0.9122807017543859,0.9254385964912281,0.9429824561403508
5,minkowski,distance,0.23399925231933594,0.9912280701754386,0.9385964912280702,0.962280701754386,0.014704433872140526,0.956140350877193,0.9605263157894737,0.9649122807017544
5,cityblock,uniform,0.1869983673095703,0.9649122807017544,0.9210526315789473,0.9438596491228071,0.014782718900309398,0.9298245614035088,0.9473684210526315,0.9539473684210527
5,cityblock,uniform,0.17999911308288574,0.9824561403508771,0.9298245614035088,0.9596491228070174,0.015789473684210523,0.9495614035087718,0.9649122807017544,0.9714912280701755
5,cityblock,distance,0.23200488090515137,0.9736842105263158,0.8947368421052632,0.9473684210526316,0.022191422176620207,0.9407894736842105,0.9473684210526315,0.9627192982456141
